id,Country,MODIS Fires,MODIS Fires per 1000km2,Year
1,Zimbabwe,18448,47.4248955797247,2016
2,Zambia,216444,287.527536643502,2016
3,Yemen,50,0.110481650708284,2016
4,Vietnam,21129,64.447626980635,2016
5,Venezuela,50015,54.9346420891542,2016
7,Vanuatu,1072,95.2582254218189,2016
8,Uzbekistan,2407,5.37253906292739,2016
9,Uruguay,889,5.00936736241057,2016
10,Federated States of Micronesia,2,3.83245950277292,2016
12,Northern Mariana Islands,6,15.3004635270478,2016
14,Guam,16,33.3052181118272,2016
15,American Samoa,2,16.6721329181918,2016
16,Puerto Rico,49,5.49547466903185,2016
17,United States of America,112885,11.9382263951747,2016
23,Falkland Islands,21,1.83727486094997,2016
28,Montserrat,5,62.8828308940751,2016
32,United Kingdom,551,2.28968287679127,2016
33,United Arab Emirates,271,3.81062997659433,2016
34,Ukraine,25742,45.0056278460375,2016
35,Uganda,26313,108.968147132625,2016
36,Turkmenistan,3289,6.98258951216826,2016
37,Turkey,13632,17.4662629936749,2016
38,Tunisia,252,1.60902430058907,2016
39,Trinidad and Tobago,147,28.9269199165476,2016
40,Tonga,3,6.97136990239125,2016
41,Togo,8770,154.126180516677,2016
42,East Timor,163,10.8969592501909,2016
43,Thailand,29971,58.3195687129731,2016
44,Tanzania,98432,104.521971535042,2016
45,Tajikistan,163,1.14469920721274,2016
46,Taiwan,257,7.15568291124592,2016
47,Syria,1554,8.36716613808287,2016
48,Switzerland,74,1.79106210950411,2016
49,Sweden,173,0.388196516907303,2016
50,eSwatini,900,53.0608397395725,2016
51,Suriname,863,5.95440861146401,2016
52,South Sudan,201664,324.569859741786,2016
53,Sudan,32059,17.2669298964554,2016
54,Sri Lanka,1462,22.2311483406102,2016
55,Spain,3191,6.29732219015463,2016
56,South Korea,807,8.30446935726711,2016
57,South Africa,29997,24.5864762879761,2016
58,Somalia,375,0.795253246570976,2016
59,Somaliland,12,0.0715119776573071,2016
60,Solomon Islands,27,1.05333432422274,2016
61,Slovakia,345,7.11515712696621,2016
62,Slovenia,50,2.46979600972194,2016
63,Singapore,2,4.14271085430693,2016
64,Sierra Leone,24246,338.746084476111,2016
66,Republic of Serbia,725,9.33701424804333,2016
67,Senegal,18691,95.0667986021448,2016
68,Saudi Arabia,2882,1.49982029238769,2016
69,São Tomé and Principe,3,3.0566798799775,2016
71,Samoa,14,5.20115109706439,2016
72,Saint Vincent and the Grenadines,1,3.22671733085261,2016
74,Saint Kitts and Nevis,3,12.9213825673466,2016
75,Rwanda,354,14.0072631724634,2016
76,Russia,294317,17.3397449230983,2016
77,Romania,3946,16.6962813259354,2016
78,Qatar,244,22.0780932206188,2016
79,Portugal,4802,52.8583468599014,2016
80,Poland,594,1.89314737443858,2016
81,Philippines,7158,24.7525463941379,2016
82,Peru,19419,15.0415290811975,2016
83,Paraguay,41085,102.725495393348,2016
84,Papua New Guinea,4268,9.23211633899512,2016
85,Panama,2209,29.8776612550092,2016
86,Palau,1,2.94836395093834,2016
87,Pakistan,10910,12.5002432521772,2016
88,Oman,951,3.05596598112857,2016
89,Norway,58,0.149944681356474,2016
90,North Korea,513,4.18338598761024,2016
91,Nigeria,72147,79.4714415842282,2016
92,Niger,1102,0.932948498427997,2016
93,Nicaragua,5462,42.4234164458705,2016
94,New Zealand,628,2.3498688528147,2016
95,Niue,1,5.09201716352725,2016
97,Netherlands,296,7.94043932371164,2016
99,Curaçao,2,4.67270212718275,2016
100,Nepal,7737,52.640873029324,2016
102,Namibia,10144,12.3324195941233,2016
103,Mozambique,133438,169.314930345155,2016
104,Morocco,283,0.486465106702125,2016
105,Western Sahara,2,0.0220768884823666,2016
106,Montenegro,127,9.27704712339454,2016
107,Mongolia,1655,1.05783845456022,2016
108,Moldova,1069,32.1912690928775,2016
110,Mexico,64593,32.9913359413471,2016
111,Mauritius,24,12.8077756075015,2016
112,Mauritania,389,0.375706079960767,2016
114,Mali,33764,26.9224747494719,2016
115,Maldives,35,529.348536680566,2016
116,Malaysia,5499,16.8576342423666,2016
117,Malawi,10055,84.2522539634454,2016
118,Madagascar,76221,128.571707644012,2016
119,Macedonia,493,19.4091074595275,2016
120,Luxembourg,35,13.3554149145559,2016
121,Lithuania,45,0.694265952314797,2016
123,Libya,2061,1.26930063446058,2016
124,Liberia,8947,93.9296737763237,2016
125,Lesotho,69,2.3006851021867,2016
126,Lebanon,103,10.2907328430438,2016
127,Latvia,63,0.975552804577562,2016
128,Laos,42102,184.469278398477,2016
129,Kyrgyzstan,492,2.47325283294227,2016
130,Kuwait,1086,62.7464334367115,2016
131,Kosovo,72,6.58761486085656,2016
133,Kenya,2774,4.68430813489705,2016
134,Kazakhstan,22862,8.4029558654466,2016
135,Jordan,43,0.484330190829399,2016
136,Japan,2317,6.25751758645137,2016
137,Jamaica,121,11.1029256383954,2016
138,Italy,4977,16.5462333735696,2016
139,Israel,164,7.36560181994818,2016
140,Palestine,80,12.6407570821592,2016
141,Ireland,37,0.536376109999952,2016
142,Iraq,53562,122.502237360549,2016
143,Iran,26039,16.0550616892741,2016
144,Indonesia,23645,12.6856652551353,2016
145,India,88447,28.0940224561795,2016
147,Hungary,183,1.96322955208701,2016
148,Honduras,8384,74.1236385880613,2016
149,Haiti,145,5.42584596300375,2016
150,Guyana,2172,10.2927189400168,2016
151,Guinea-Bissau,4992,156.335069540507,2016
152,Guinea,74880,306.961342440476,2016
153,Guatemala,10052,92.9863985099125,2016
155,Greece,1658,12.7269945827977,2016
156,Ghana,44105,184.881247235783,2016
157,Germany,2237,6.25802822971937,2016
158,Georgia,600,8.64390412536077,2016
159,Gambia,760,73.9665939734215,2016
160,Gabon,2355,9.0751464490502,2016
161,France,2595,4.07977802262939,2016
164,Saint Martin,1,20.4724023658166,2016
166,French Polynesia,1,0.383808419711923,2016
167,New Caledonia,228,12.2475840375675,2016
170,Finland,147,0.441957023785048,2016
171,Fiji,372,20.2764266387521,2016
172,Ethiopia,52949,46.9782612071014,2016
173,Estonia,20,0.437656817053319,2016
174,Eritrea,197,1.59840611923965,2016
175,Equatorial Guinea,259,9.76435308071403,2016
176,El Salvador,907,44.6462232758654,2016
177,Egypt,2788,2.78304886444833,2016
178,Ecuador,6005,23.5926230611267,2016
179,Dominican Republic,944,19.4878949175263,2016
180,Dominica,1,1.43806306679823,2016
181,Djibouti,44,2.03525225573966,2016
182,Greenland,31,0.0142768075797295,2016
184,Denmark,56,1.3139778738187,2016
185,Czechia,208,2.64147307909444,2016
186,Northern Cyprus,5,1.44073005380372,2016
187,Cyprus,56,9.81178775487551,2016
188,Cuba,4134,37.9239311471011,2016
189,Croatia,218,3.99701296942032,2016
190,Ivory Coast,31498,98.1448860156859,2016
191,Costa Rica,1660,32.3565540764507,2016
192,Democratic Republic of the Congo,513358,220.851423404087,2016
193,Republic of the Congo,24660,71.4091217492302,2016
194,Comoros,18,11.3948910570766,2016
195,Colombia,30260,26.6734680130922,2016
196,China,97785,10.4325780872317,2016
198,Hong Kong S.A.R.,10,9.74359190719202,2016
199,Chile,7049,9.55563690614776,2016
200,Chad,56785,44.8337367320215,2016
201,Central African Republic,195666,316.44604725922,2016
202,Cabo Verde,2,0.559801418737347,2016
203,Canada,26940,2.71488936773363,2016
204,Cameroon,45102,97.2294059686688,2016
205,Cambodia,36235,200.559244015566,2016
206,Myanmar,51353,77.6927618933464,2016
207,Burundi,993,36.6596026445496,2016
208,Burkina Faso,13509,49.5511490607005,2016
209,Bulgaria,2612,23.1945910352578,2016
210,Brunei,135,23.9056855679909,2016
211,Brazil,336729,39.7689684663995,2016
212,Botswana,6074,10.4880193414175,2016
213,Bosnia and Herzegovina,531,10.2530637880581,2016
214,Bolivia,69429,63.8939555661528,2016
215,Bhutan,264,6.63128484753522,2016
216,Benin,13615,117.264430855669,2016
217,Belize,1264,55.6705736009845,2016
218,Belgium,613,19.9412791769112,2016
219,Belarus,822,3.96029637053528,2016
220,Barbados,9,23.2055379222906,2016
221,Bangladesh,1826,13.4918647528681,2016
222,Bahrain,1,1.85036370844096,2016
223,The Bahamas,266,21.0452634684952,2016
224,Azerbaijan,1655,19.1328126010692,2016
225,Austria,467,5.54969290067122,2016
226,Australia,158966,20.6683312052812,2016
228,Heard Island and McDonald Islands,6,14.2762362993549,2016
231,Armenia,343,11.591407373172,2016
232,Argentina,55912,20.0943647746675,2016
233,Antigua and Barbuda,3,6.95401289528736,2016
234,Angola,351725,282.584749843677,2016
235,Andorra,1,2.25961079422972,2016
236,Algeria,10122,4.36426032551361,2016
237,Albania,211,7.43676174983713,2016
238,Afghanistan,201,0.313165511744162,2016
1,Zimbabwe,20855,53.6126516324349,2017
2,Zambia,202193,268.59628918593,2017
3,Yemen,58,0.128158714821609,2017
4,Vietnam,11865,36.1905955854623,2017
5,Venezuela,43150,47.3943778095972,2017
7,Vanuatu,657,58.3812071848274,2017
8,Uzbekistan,2790,6.22741337165244,2017
9,Uruguay,787,4.43461430170654,2017
12,Northern Mariana Islands,6,15.3004635270478,2017
14,Guam,3,6.24472839596759,2017
15,American Samoa,1,8.3360664590959,2017
16,Puerto Rico,50,5.60762721329781,2017
17,United States of America,153536,16.2372992674806,2017
19,British Indian Ocean Territory,2,15.169375052043,2017
20,Saint Helena,1,5.4016153753505,2017
23,Falkland Islands,14,1.22484990729998,2017
28,Montserrat,4,50.3062647152601,2017
32,United Kingdom,590,2.4517475450215,2017
33,United Arab Emirates,403,5.666730186596,2017
34,Ukraine,34277,59.9276631838485,2017
35,Uganda,20917,86.6220778160268,2017
36,Turkmenistan,2318,4.92114396144908,2017
37,Turkey,9732,12.469312753407,2017
38,Tunisia,619,3.95232556374855,2017
39,Trinidad and Tobago,108,21.2524309590962,2017
41,Togo,10151,178.396221029052,2017
42,East Timor,578,38.6407512061985,2017
43,Thailand,18626,36.2437118163504,2017
44,Tanzania,72458,76.9409644575552,2017
45,Tajikistan,118,0.828677953687754,2017
46,Taiwan,374,10.4133284389338,2017
47,Syria,2274,12.2438454298587,2017
48,Switzerland,73,1.76685856748378,2017
49,Sweden,191,0.428586905949681,2017
50,eSwatini,1176,69.3328305930414,2017
51,Suriname,426,2.93925616278525,2017
52,South Sudan,177670,285.952510018264,2017
53,Sudan,33094,17.8243793628402,2017
54,Sri Lanka,712,10.8266604777801,2017
55,Spain,5178,10.2185942653152,2017
56,South Korea,781,8.03691520201439,2017
57,South Africa,44022,36.0818034853247,2017
58,Somalia,245,0.519565454426371,2017
59,Somaliland,8,0.0476746517715381,2017
60,Solomon Islands,8,0.312099059028959,2017
61,Slovakia,301,6.20771679772994,2017
62,Slovenia,91,4.49502873769393,2017
63,Singapore,3,6.2140662814604,2017
64,Sierra Leone,25239,352.619501199891,2017
66,Republic of Serbia,1845,23.7610914312275,2017
67,Senegal,19518,99.2731140718347,2017
68,Saudi Arabia,2622,1.3645138121584,2017
69,São Tomé and Principe,4,4.07557317330333,2017
71,Samoa,26,9.65928060883386,2017
74,Saint Kitts and Nevis,4,17.2285100897955,2017
75,Rwanda,225,8.90292150792163,2017
76,Russia,228924,13.4871032484544,2017
77,Romania,4859,20.559359088373,2017
78,Qatar,250,22.6209971522733,2017
79,Portugal,6678,73.5085465077929,2017
80,Poland,470,1.49794489223255,2017
81,Philippines,3312,11.4529803935994,2017
82,Peru,11708,9.06875856031002,2017
83,Paraguay,46367,115.93216611667,2017
84,Papua New Guinea,5513,11.9251774547517,2017
85,Panama,1395,18.8679662520316,2017
87,Pakistan,12281,14.0710804197973,2017
88,Oman,1209,3.88502930723916,2017
89,Norway,84,0.217161262654204,2017
90,North Korea,945,7.7062373455978,2017
91,Nigeria,71714,78.994482955235,2017
92,Niger,967,0.818658074391899,2017
93,Nicaragua,3262,25.335991293744,2017
94,New Zealand,524,1.96071859693456,2017
97,Netherlands,237,6.35771662067453,2017
98,Aruba,2,12.9310596538621,2017
99,Curaçao,3,7.00905319077413,2017
100,Nepal,2222,15.1180069627967,2017
102,Namibia,12705,15.4459178769062,2017
103,Mozambique,132887,168.615785224423,2017
104,Morocco,291,0.500216770495825,2017
105,Western Sahara,5,0.0551922212059165,2017
106,Montenegro,1373,100.294375593864,2017
107,Mongolia,3868,2.47233785029543,2017
108,Moldova,743,22.3742871244228,2017
110,Mexico,83327,42.5598602013319,2017
111,Mauritius,31,16.5433768263561,2017
112,Mauritania,266,0.256909555962889,2017
113,Malta,3,10.9562556286613,2017
114,Mali,33669,26.8467243910665,2017
115,Maldives,27,408.354585439294,2017
116,Malaysia,2053,6.29363940708831,2017
117,Malawi,7832,65.6254254641178,2017
118,Madagascar,58608,98.8616082392024,2017
119,Macedonia,844,33.2277620605299,2017
120,Luxembourg,64,24.4213301294736,2017
121,Lithuania,24,0.370275174567892,2017
123,Libya,2647,1.63019834032856,2017
124,Liberia,7469,78.4129577998616,2017
125,Lesotho,307,10.2363815416133,2017
126,Lebanon,41,4.09631113169705,2017
127,Latvia,30,0.464548954560744,2017
128,Laos,27354,119.851138694407,2017
129,Kyrgyzstan,400,2.01077466092868,2017
130,Kuwait,850,49.1109285646453,2017
131,Kosovo,189,17.2924890097485,2017
133,Kenya,1927,3.25402371158854,2017
134,Kazakhstan,72734,26.7334700340037,2017
135,Jordan,49,0.551911147689315,2017
136,Japan,2330,6.29262666224933,2017
137,Jamaica,185,16.9755474636623,2017
138,Italy,8608,28.6176365038552,2017
139,Israel,108,4.85051827167319,2017
140,Palestine,29,4.5822744422827,2017
141,Ireland,161,2.33396091108087,2017
142,Iraq,48539,111.014078997119,2017
143,Iran,31104,19.1780267592144,2017
144,Indonesia,17689,9.49024033402787,2017
145,India,82181,26.1037102385755,2017
146,Iceland,4,0.039285276220767,2017
147,Hungary,328,3.51879395128164,2017
148,Honduras,5571,49.2536725398484,2017
149,Haiti,203,7.59618434820525,2017
150,Guyana,1470,6.96606668592297,2017
151,Guinea-Bissau,3773,118.159498673144,2017
152,Guinea,77641,318.279722067588,2017
153,Guatemala,9218,85.2714506033001,2017
155,Greece,1501,11.5218449148247,2017
156,Ghana,53699,225.097791527362,2017
157,Germany,2033,5.68733633930241,2017
158,Georgia,911,13.1243277636728,2017
159,Gambia,1002,97.519114686011,2017
160,Gabon,2050,7.89980901085049,2017
161,France,3341,5.25261594358566,2017
166,French Polynesia,2,0.767616839423847,2017
167,New Caledonia,445,23.9042758627962,2017
170,Finland,119,0.357774733540277,2017
171,Fiji,485,26.4356637628892,2017
172,Ethiopia,52962,46.9897952756521,2017
173,Estonia,11,0.240711249379325,2017
174,Eritrea,179,1.45235885961369,2017
175,Equatorial Guinea,83,3.12911701042187,2017
176,El Salvador,1667,82.0565095930183,2017
177,Egypt,1647,1.64407513620746,2017
178,Ecuador,3276,12.8708464859702,2017
179,Dominican Republic,1002,20.6852443933912,2017
180,Dominica,3,4.31418920039469,2017
181,Djibouti,35,1.61895065797473,2017
182,Greenland,143,0.0658575317387522,2017
184,Denmark,44,1.03241118657183,2017
185,Czechia,199,2.52717857086439,2017
186,Northern Cyprus,12,3.45775212912893,2017
187,Cyprus,28,4.90589387743775,2017
188,Cuba,6727,61.7112445153723,2017
189,Croatia,1416,25.962249379354,2017
190,Ivory Coast,25830,80.4839166228067,2017
191,Costa Rica,1051,20.4859869484034,2017
192,Democratic Republic of the Congo,458603,197.295309174854,2017
193,Republic of the Congo,19126,55.3840576875822,2017
194,Comoros,19,12.0279405602475,2017
195,Colombia,22005,19.3968824728385,2017
196,China,114283,12.1927322344234,2017
198,Hong Kong S.A.R.,12,11.6923102886304,2017
199,Chile,16518,22.391830105795,2017
200,Chad,45975,36.2988649512141,2017
201,Central African Republic,164247,265.632833114517,2017
202,Cabo Verde,13,3.63870922179276,2017
203,Canada,95556,9.62969444777857,2017
204,Cameroon,44229,95.3474213247362,2017
205,Cambodia,22395,123.955409679277,2017
206,Myanmar,47231,71.4565232213239,2017
207,Burundi,451,16.6500310097602,2017
208,Burkina Faso,13265,48.6561545851056,2017
209,Bulgaria,2960,26.2848351701237,2017
210,Brunei,36,6.37484948479758,2017
211,Brazil,392719,46.3815992301107,2017
212,Botswana,15181,26.2131415248699,2017
213,Bosnia and Herzegovina,2105,40.6453846965392,2017
214,Bolivia,57948,53.3282480972997,2017
215,Bhutan,271,6.80711437000774,2017
216,Benin,14316,123.302063322054,2017
217,Belize,1433,63.1138702295971,2017
218,Belgium,532,17.3062977522296,2017
219,Belarus,1223,5.8922657678402,2017
220,Barbados,7,18.0487517173371,2017
221,Bangladesh,1456,10.7580257832289,2017
222,Bahrain,2,3.70072741688192,2017
223,The Bahamas,514,40.6664113639344,2017
224,Azerbaijan,1784,20.6241315288867,2017
225,Austria,575,6.83313365714336,2017
226,Australia,273449,35.5531025486767,2017
228,Heard Island and McDonald Islands,1,2.37937271655915,2017
231,Armenia,405,13.686647189897,2017
